"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Nfic"	2.55383145980053e-18	0.261147551618848	0.127	0.263	6.02116843277172e-14	"0"	"Nfic"
"Atp6v0e"	3.16584881796536e-18	0.855676721596832	0.416	0.393	7.46412175811693e-14	"0"	"Atp6v0e"
"Mrps16"	5.76843694035317e-18	0.281156357628763	0.147	0.294	1.36002437742707e-13	"0"	"Mrps16"
"Mpv17"	6.74681406073512e-18	0.256470881786268	0.127	0.26	1.59069635109952e-13	"0"	"Mpv17"
"Aamdc"	7.34503277086187e-18	0.290717519623668	0.22	0.423	1.7317383763861e-13	"0"	"Aamdc"
"Golgb1"	7.53421720455418e-18	0.294209058094302	0.197	0.381	1.77634239031774e-13	"0"	"Golgb1"
"Ank"	8.28812530582273e-18	0.353075260441476	0.14	0.283	1.95409130335382e-13	"0"	"Ank"
"Lsm6"	1.9662086656914e-17	1.12182112554675	0.405	0.418	4.63573017110062e-13	"0"	"Lsm6"
"Pnisr"	2.13669134211842e-17	1.01525642962115	0.455	0.512	5.0376771773126e-13	"0"	"Pnisr"
"Atp2a2"	4.78157131317767e-17	1.01389499454202	0.417	0.438	1.1273510685079e-12	"0"	"Atp2a2"
"Cnn3"	1.83707594660233e-16	0.94055073034288	0.298	0.243	4.33127395930431e-12	"0"	"Cnn3"
"Cmtm5"	3.19964298042204e-16	1.04420593618744	0.304	0.262	7.54379825494103e-12	"0"	"Cmtm5"
"Nxf1"	3.60097320692293e-16	0.258670587270195	0.21	0.392	8.49001452996219e-12	"0"	"Nxf1"
"Ndufs4"	8.49008299330595e-16	0.28385757192576	0.223	0.412	2.00170686733174e-11	"0"	"Ndufs4"
"RP23-185A18.9"	1.241872996722e-15	0.358316035134753	0.149	0.288	2.92796396437147e-11	"0"	"RP23-185A18.9"
"Cbx5"	4.22604772181159e-15	0.287213355892274	0.136	0.262	9.96375271371518e-11	"0"	"Cbx5"
"Kidins220"	1.29058602520184e-14	0.340890206488255	0.129	0.251	3.04281467161839e-10	"0"	"Kidins220"
"Ank2"	1.29821342558284e-14	1.08060651527155	0.4	0.43	3.06079779349666e-10	"0"	"Ank2"
"Psap"	2.11783781753491e-14	0.687439554161336	0.539	0.641	4.99322622240205e-10	"0"	"Psap"
"Atf4"	2.22936719279484e-14	0.286371749736561	0.155	0.291	5.25617903045239e-10	"0"	"Atf4"
"Mrps14"	2.39841363253952e-14	0.354179206368219	0.24	0.434	5.65473982143842e-10	"0"	"Mrps14"
"Srsf2"	3.97734491686862e-14	0.32731756925509	0.189	0.344	9.37738611050114e-10	"0"	"Srsf2"
"Mllt10"	4.17848925239875e-14	0.32333172312488	0.14	0.265	9.85162411038054e-10	"0"	"Mllt10"
"Sdhc"	4.91178701690618e-14	0.321264006594817	0.131	0.25	1.15805202497597e-09	"0"	"Sdhc"
"Isca2"	6.47068698123873e-14	0.29686609269548	0.164	0.303	1.52559386956666e-09	"0"	"Isca2"
"Abr"	8.26248007026647e-14	1.02882814976072	0.285	0.249	1.94804492616673e-09	"0"	"Abr"
"Jtb"	1.16866478655512e-13	0.318256870283706	0.248	0.446	2.75536096726101e-09	"0"	"Jtb"
"Mrpl42"	1.500096065246e-13	0.277990648635812	0.25	0.447	3.53677649303049e-09	"0"	"Mrpl42"
"Grina"	2.54219957960942e-13	1.03600824429827	0.334	0.323	5.99374394884512e-09	"0"	"Grina"
"Tcf7l2"	2.98550387201006e-13	0.31326753199676	0.355	0.277	7.03892247903811e-09	"0"	"Tcf7l2"
"Sirpa"	3.15678401386962e-13	0.748584066509815	0.295	0.244	7.44274966950041e-09	"0"	"Sirpa"
"Tmem208"	8.14123122217405e-13	0.391642211241352	0.16	0.29	1.91945808525198e-08	"0"	"Tmem208"
"RP23-46D6.5"	9.35894098725146e-13	0.368849695272553	0.194	0.346	2.20655751656428e-08	"0"	"RP23-46D6.5"
"Atraid"	1.304611293711e-12	1.03299587375434	0.414	0.458	3.07588204718242e-08	"0"	"Atraid"
"Pdcd6"	1.41036097010807e-12	0.435375052432547	0.148	0.27	3.3252080592238e-08	"0"	"Pdcd6"
"Limch1"	3.28653015518066e-12	0.394621823055477	0.158	0.286	7.74865214686943e-08	"0"	"Limch1"
"Ndufv2"	3.4699401390401e-12	0.298318509156383	0.274	0.474	8.18107786581484e-08	"0"	"Ndufv2"
"Stx16"	4.21729624694568e-12	0.335121850308411	0.174	0.31	9.94311936142382e-08	"0"	"Stx16"
"RP23-180L12.1"	6.75258785128367e-12	1.12115666252866	0.323	0.317	1.59205763769715e-07	"0"	"RP23-180L12.1"
"Mtfr1l"	7.04784564134085e-12	0.416954583155276	0.189	0.33	1.66167056685893e-07	"0"	"Mtfr1l"
"RP23-79E13.7"	7.84958251559759e-12	0.431408830288649	0.14	0.254	1.85069606970244e-07	"0"	"RP23-79E13.7"
"Ndufc2"	1.75995612140853e-11	0.28750018596735	0.295	0.505	4.1494485474449e-07	"0"	"Ndufc2"
"Ptpra"	1.87639414748189e-11	0.377232802993094	0.212	0.37	4.42397448151806e-07	"0"	"Ptpra"
"Mydgf"	2.64286464205914e-11	0.357909080269568	0.183	0.318	6.23108196658284e-07	"0"	"Mydgf"
"Ssr2"	2.65390740311712e-11	0.262198067302567	0.17	0.294	6.25711748432925e-07	"0"	"Ssr2"
"Hist1h2bc"	2.69971476974327e-11	0.816449862222359	0.365	0.351	6.36511751262372e-07	"0"	"Hist1h2bc"
"Laptm4a"	2.83209859343098e-11	0.686423997642479	0.381	0.364	6.67723885373221e-07	"0"	"Laptm4a"
"Luc7l2"	3.15618524420132e-11	0.385285285634109	0.211	0.366	7.44133795025346e-07	"0"	"Luc7l2"
"AC104921.1"	3.60368944929351e-11	0.354004891263868	0.19	0.328	8.49641861459931e-07	"0"	"AC104921.1"
"Spag9"	4.12665585569206e-11	0.441796853440142	0.21	0.367	9.72941651096517e-07	"0"	"Spag9"
"Msmo1"	6.44883761168078e-11	1.1713048338078	0.28	0.261	1.52044244370598e-06	"0"	"Msmo1"
"Nisch"	1.01424149187702e-10	0.302923233616619	0.291	0.505	2.39127716539844e-06	"0"	"Nisch"
"Lyrm4"	1.04261534944043e-10	0.407209989763345	0.175	0.303	2.45817420937571e-06	"0"	"Lyrm4"
"Tia1"	1.14923925049633e-10	0.355297402398193	0.152	0.267	2.70956138089519e-06	"0"	"Tia1"
"Mrps36"	2.09642890546686e-10	0.464150443003828	0.144	0.253	4.94275043041922e-06	"0"	"Mrps36"
"Txndc15"	2.31008101055613e-10	0.272105466446527	0.173	0.295	5.44647799858818e-06	"0"	"Txndc15"
